0,site,horizon,horizon_type,proportion_sand,proportion_silt,proportion_clay,total_ssa.m2g,,
126,DCFS,B/A,NA,NA,NA,NA,NA,,
127,DCFS,Bw2,NA,NA,NA,NA,NA,,
128,DCFS,Bk1,NA,NA,NA,NA,NA,,
129,WOOD,AB,NA,NA,NA,NA,NA,,
130,WOOD,Bk2,NA,NA,NA,NA,NA,,
131,NGPR,Bt2,NA,NA,NA,NA,NA,,
132,NGPR,Btk2,NA,NA,NA,NA,NA,,
133,STER,Ap2,NA,NA,NA,NA,NA,,
134,STER,A/B,NA,NA,NA,NA,NA,,
135,STER,Bt,NA,NA,NA,NA,NA,,
136,STER,A',NA,NA,NA,NA,NA,,
137,STER,B/C,NA,NA,NA,NA,NA,,
138,STER,Ck,NA,NA,NA,NA,NA,,
139,STER,C,NA,NA,NA,NA,NA,,
140,BART,Oe,NA,NA,NA,NA,NA,,
141,BART,AE,NA,NA,NA,NA,NA,,
142,BART,BE,NA,NA,NA,NA,NA,,
143,BART,EB,NA,NA,NA,NA,NA,,
144,BART,E,NA,NA,NA,NA,NA,,
145,BART,Bw,NA,NA,NA,NA,NA,,
146,BART,Bhs,NA,NA,NA,NA,NA,,
148,BART,Bo,NA,NA,NA,NA,NA,,
149,BART,Bgs2,NA,NA,NA,NA,NA,,
150,BART,Bgs3,NA,NA,NA,NA,NA,,
151,BART,Bg,NA,NA,NA,NA,NA,,
152,KONZ,A1,A-Horizon,7.33,70.98,21.69,5.06624608,,
153,HARV,AB,NA,NA,NA,NA,NA,,
154,KONZ,Bt1,Upper B-Horizon,3.68,70.82,25.5,5.97260624,,
155,HARV,Bw2,NA,NA,NA,NA,NA,,
156,KONZ,Bt2,Lower B-Horizon,6.06,69.48,24.46,4.93197659,,
157,HARV,2BC,NA,NA,NA,NA,NA,,
158,HARV,2CB,NA,NA,NA,NA,NA,,
159,SERC,AB,NA,NA,NA,NA,NA,,
160,SERC,Bt2,NA,NA,NA,NA,NA,,
161,SERC,Bt3,NA,NA,NA,NA,NA,,
162,SERC,Btg1,NA,NA,NA,NA,NA,,
163,SERC,Btg2,NA,NA,NA,NA,NA,,
164,SERC,BC,NA,NA,NA,NA,NA,,
165,SERC,B/C,NA,NA,NA,NA,NA,,
166,SERC,C,NA,NA,NA,NA,NA,,
